"Table 111-0006 Neighbourhood income and demographics, taxfilers and dependents, by sex and single years of age, annual (number)(1,2,3,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Income Estimates for Census Families and Individuals (T1 Family File) - 4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography (9),Sex,Age group (3),2010,2011,2012,2013,2014,,Geography (9),Canada,Canada,Canada,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon,Yukon,Yukon,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut,"Campbellton, combined NewBrunswick/Quebec [98330]  (8)","Campbellton, combined NewBrunswick/Quebec [98330]  (8)","Campbellton, combined NewBrunswick/Quebec [98330]  (8)","Hawkesbury, combined Ontario/Quebec [98502]  (8)","Hawkesbury, combined Ontario/Quebec [98502]  (8)","Hawkesbury, combined Ontario/Quebec [98502]  (8)","Ottawa - Gatineau, combined Ontario/Quebec [98505]  (8)","Ottawa - Gatineau, combined Ontario/Quebec [98505]  (8)","Ottawa - Gatineau, combined Ontario/Quebec [98505]  (8)","Lloydminster, combined Alberta/Saskatchewan [98840]  (8)","Lloydminster, combined Alberta/Saskatchewan [98840]  (8)","Lloydminster, combined Alberta/Saskatchewan [98840]  (8)"
New Brunswick,Males,Total all ages (3),358730,359550,358040,357100,358190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick,Females,Total all ages (3),378490,379100,378380,377370,377890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec,Both sexes,Total all ages (3),7717710,7792820,7848370,7904880,7960870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec,Males,Total all ages (3),3763670,3804230,3833780,3864260,3894630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec,Females,Total all ages (3),3954040,3988590,4014590,4040620,4066240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario,Both sexes,Total all ages (3),12593440,12707860,12796300,12912940,13040270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario,Males,Total all ages (3),6094540,6148440,6190660,6249350,6315200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario,Females,Total all ages (3),6498910,6559420,6605630,6663600,6725080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manitoba,Both sexes,Total all ages (3),1187700,1203690,1215110,1227940,1240970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manitoba,Males,Total all ages (3),580200,589010,594860,601690,608650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manitoba,Females,Total all ages (3),607500,614670,620250,626240,632320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saskatchewan,Both sexes,Total all ages (3),1022160,1042260,1058700,1073430,1086200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saskatchewan,Males,Total all ages (3),501220,512830,521170,529170,535550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saskatchewan,Females,Total all ages (3),520940,529440,537530,544260,550650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta,Both sexes,Total all ages (3),3544590,3644620,3765200,3891740,3991300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta,Males,Total all ages (3),1755420,1808700,1872750,1939070,1989840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta,Females,Total all ages (3),1789170,1835920,1892450,1952670,2001460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Columbia,Both sexes,Total all ages (3),4243560,4296660,4321100,4377850,4442710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Columbia,Males,Total all ages (3),2059040,2088020,2099160,2128480,2160820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Columbia,Females,Total all ages (3),2184530,2208640,2221940,2249380,2281900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon,Both sexes,Total all ages (3),32210,33240,33420,33680,34140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon,Males,Total all ages (3),16080,16610,16680,16760,16990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon,Females,Total all ages (3),16130,16630,16740,16920,17160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Territories,Both sexes,Total all ages (3),41080,41220,41130,41350,41730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Territories,Males,Total all ages (3),20800,20900,20790,20880,21060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Territories,Females,Total all ages (3),20280,20330,20340,20470,20680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunavut,Both sexes,Total all ages (3),31710,32360,33030,33690,34410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunavut,Males,Total all ages (3),15950,16230,16520,16890,17270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunavut,Females,Total all ages (3),15760,16130,16510,16800,17140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Campbellton, combined NewBrunswick/Quebec [98330]  (8)",Both sexes,Total all ages (3),17570,17650,17670,17640,17640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Campbellton, combined NewBrunswick/Quebec [98330]  (8)",Males,Total all ages (3),8420,8470,8470,8480,8510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Campbellton, combined NewBrunswick/Quebec [98330]  (8)",Females,Total all ages (3),9150,9180,9190,9160,9130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawkesbury, combined Ontario/Quebec [98502]  (8)",Both sexes,Total all ages (3),12310,12260,12320,12240,12140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawkesbury, combined Ontario/Quebec [98502]  (8)",Males,Total all ages (3),5860,5840,5870,5850,5770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawkesbury, combined Ontario/Quebec [98502]  (8)",Females,Total all ages (3),6460,6430,6460,6390,6360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ottawa - Gatineau, combined Ontario/Quebec [98505]  (8)",Both sexes,Total all ages (3),1175520,1189930,1201350,1213160,1227590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ottawa - Gatineau, combined Ontario/Quebec [98505]  (8)",Males,Total all ages (3),566710,573520,579190,585060,592280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ottawa - Gatineau, combined Ontario/Quebec [98505]  (8)",Females,Total all ages (3),608800,616410,622170,628100,635310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lloydminster, combined Alberta/Saskatchewan [98840]  (8)",Both sexes,Total all ages (3),33630,35000,36590,38080,38860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lloydminster, combined Alberta/Saskatchewan [98840]  (8)",Males,Total all ages (3),16950,17720,18570,19340,19690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lloydminster, combined Alberta/Saskatchewan [98840]  (8)",Females,Total all ages (3),16680,17290,18030,18740,19160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Taxfilers are people who filed a tax return for the reference year and were alive at the end of the year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Information on the data source, the historical availability, definitions of the terms used, and the geographies available can be found at http://www.statcan.gc.ca/imdb-bmdi/4105-eng.htm. For questions and comments, contact income@statcan.gc.ca, Income Statistics Division, Client Services, Jean Talon Building, 5th Floor, Ottawa, Ontario K1A 0T6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Characteristics such as age are as of December 31 of the reference year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Dependent is a member of a family who did not file a personal income tax return for the referenced year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"The census metropolitan area (CMA) of Ottawa-Gatineau straddles the provincial borders of Ontario and Quebec. Three census agglomerations (CA) also straddle provincial borders: Campbellton straddles New Brunswick and Quebec, Hawkesbury straddles Ontario and Quebec, and Lloydminster straddles Alberta and Saskatchewan. Data for the combined provincial parts are provided at the end of the list of CMAs and CAs. Prior to 2008, data for the two parts of the Ottawa-Gatineau CMA may be added together to provide a total for the area, with the exception of medians, percentages, indexes and averages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"The Census Standard Geographical Classification (SGC) is used for data dissemination of the Census Metropolitan Areas and the Census Agglomerations: from 1997 to 2001, SGC 1996; from 2002 to 2006, SGC 2001; from 2007 to 2011, SGC 2006; as of 2012, SGC 2011. Please note that Census Agglomerations were introduced in this CANSIM table in 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Statistics Canada. Table 111-0006 - Neighbourhood income and demographics, taxfilers and dependents, by sex and single years of age, annual (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(accessed: February 12, 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
